"subscriber_id","treatment","age","gender","tenure_months","upgraded"
101,"control",30,"F",15,1
102,"control",50,"F",16,0
103,"control",27,"F",46,0
104,"new_offer",60,"F",20,0
105,"control",60,"F",1,0
106,"new_offer",34,"M",16,0
107,"control",35,"M",34,0
108,"control",21,"M",2,0
109,"new_offer",27,"M",20,0
110,"new_offer",35,"M",11,0
111,"new_offer",41,"M",73,0
112,"control",51,"M",9,0
113,"new_offer",38,"F",27,0
114,"control",34,"F",14,0
115,"control",30,"M",18,0
116,"control",28,"M",4,0
117,"new_offer",21,"F",83,0
118,"control",21,"M",12,0
119,"new_offer",35,"F",22,0
120,"control",42,"M",6,0
121,"control",34,"M",35,0
122,"new_offer",26,"F",37,0
123,"control",46,"M",83,1
124,"control",49,"F",3,0
125,"new_offer",50,"F",48,0
126,"new_offer",46,"F",8,1
127,"new_offer",32,"F",26,0
128,"control",45,"F",13,0
129,"control",37,"F",2,0
130,"control",46,"M",6,0
131,"control",33,"F",29,0
132,"new_offer",36,"M",7,1
133,"new_offer",34,"M",12,0
134,"control",27,"F",16,0
135,"new_offer",43,"F",5,0
136,"control",58,"F",19,1
137,"new_offer",35,"M",5,0
138,"control",28,"F",6,0
139,"control",45,"M",1,0
140,"new_offer",50,"M",4,0
141,"new_offer",63,"F",1,0
142,"new_offer",21,"M",1,0
143,"new_offer",39,"M",19,0
144,"control",32,"F",18,1
145,"control",43,"F",1,0
146,"control",31,"F",38,0
147,"control",23,"M",21,0
148,"new_offer",46,"F",9,1
149,"new_offer",35,"M",6,0
150,"control",23,"M",13,1
151,"new_offer",54,"F",8,0
152,"control",53,"F",51,0
153,"new_offer",34,"M",9,0
154,"new_offer",60,"F",68,1
155,"new_offer",38,"F",18,0
156,"control",26,"F",21,0
157,"control",36,"F",28,0
158,"control",34,"F",38,0
159,"new_offer",22,"M",5,0
160,"new_offer",46,"M",1,0
161,"new_offer",32,"F",16,0
162,"control",40,"F",22,0
163,"control",49,"M",29,0
164,"new_offer",22,"M",27,0
165,"new_offer",34,"M",5,0
166,"control",42,"F",8,0
167,"new_offer",36,"F",89,1
168,"new_offer",26,"M",15,0
169,"control",27,"F",5,0
170,"new_offer",40,"F",50,0
171,"control",21,"F",1,0
172,"control",49,"F",6,1
173,"control",29,"F",6,0
174,"new_offer",41,"F",11,0
175,"new_offer",49,"F",7,0
176,"control",45,"F",30,0
177,"new_offer",43,"M",16,1
178,"new_offer",43,"F",42,0
179,"control",37,"M",18,0
180,"new_offer",51,"M",14,0
181,"control",28,"M",19,0
182,"control",35,"M",16,0
183,"new_offer",31,"Nonbinary",1,0
184,"control",43,"M",22,0
185,"new_offer",34,"F",14,0
186,"new_offer",40,"F",49,1
187,"new_offer",35,"F",7,0
188,"control",23,"M",12,0
189,"new_offer",41,"Nonbinary",107,0
190,"new_offer",42,"F",76,0
191,"new_offer",21,"F",5,0
192,"control",51,"F",2,1
193,"new_offer",46,"F",38,0
194,"new_offer",25,"M",3,1
195,"new_offer",22,"M",13,0
196,"new_offer",25,"M",6,0
197,"control",49,"M",11,0
198,"control",40,"F",34,0
199,"control",40,"M",7,0
200,"new_offer",39,"M",26,0
201,"control",33,"F",12,0
202,"new_offer",35,"M",19,1
203,"new_offer",27,"M",5,0
204,"new_offer",38,"F",23,0
205,"control",40,"M",27,0
206,"new_offer",29,"F",11,0
207,"control",40,"F",6,0
208,"control",23,"F",23,0
209,"new_offer",52,"M",5,0
210,"new_offer",49,"M",9,0
211,"control",21,"M",8,0
212,"control",39,"M",31,0
213,"new_offer",46,"F",23,0
214,"new_offer",44,"F",14,0
215,"new_offer",26,"F",68,0
216,"control",42,"F",12,0
217,"new_offer",34,"F",18,0
218,"new_offer",57,"F",15,0
219,"control",53,"Nonbinary",59,0
220,"control",42,"F",1,0
221,"new_offer",38,"M",9,0
222,"control",28,"F",41,0
223,"control",49,"M",65,0
224,"control",45,"F",37,0
225,"new_offer",23,"F",21,0
226,"control",30,"F",2,0
227,"control",37,"F",7,0
228,"new_offer",44,"M",1,0
229,"control",45,"F",2,0
230,"control",22,"F",1,0
231,"new_offer",43,"F",40,0
232,"control",39,"M",37,0
233,"new_offer",24,"M",7,0
234,"control",44,"M",22,0
235,"new_offer",33,"M",2,0
236,"control",21,"M",2,0
237,"new_offer",54,"F",3,0
238,"control",53,"M",19,0
239,"control",42,"F",51,0
240,"control",41,"M",2,0
241,"control",21,"M",3,1
242,"control",33,"M",24,1
243,"control",21,"F",9,0
244,"control",29,"F",6,0
245,"control",53,"F",28,0
246,"control",42,"F",9,0
247,"control",60,"M",8,0
248,"new_offer",28,"F",19,0
249,"new_offer",32,"F",1,0
250,"control",33,"F",7,0
251,"control",23,"M",2,0
252,"new_offer",47,"M",22,0
253,"new_offer",44,"M",7,0
254,"new_offer",33,"F",25,0
255,"control",29,"M",7,0
256,"new_offer",32,"F",37,0
257,"new_offer",23,"M",6,0
258,"control",34,"Nonbinary",1,0
259,"new_offer",45,"M",9,0
260,"control",52,"F",8,0
261,"control",33,"F",9,0
262,"new_offer",44,"M",18,0
263,"control",43,"F",9,0
264,"new_offer",33,"F",8,1
265,"control",21,"M",39,0
266,"new_offer",50,"M",19,0
267,"new_offer",39,"Nonbinary",1,0
268,"control",42,"M",4,0
269,"control",27,"M",11,0
270,"control",24,"M",7,0
271,"new_offer",49,"F",12,0
272,"new_offer",42,"F",5,0
273,"new_offer",23,"F",52,1
274,"new_offer",27,"M",10,0
275,"control",38,"F",28,0
276,"new_offer",40,"F",32,0
277,"new_offer",42,"F",17,0
278,"control",37,"M",17,0
279,"new_offer",33,"F",6,1
280,"new_offer",21,"M",1,0
281,"new_offer",28,"F",18,0
282,"control",40,"M",44,0
283,"control",49,"F",69,0
284,"control",35,"F",20,0
285,"control",32,"F",5,0
286,"control",34,"M",1,0
287,"new_offer",40,"M",69,1
288,"control",50,"F",10,1
289,"new_offer",44,"M",67,0
290,"control",29,"M",5,0
291,"control",48,"F",4,0
292,"control",27,"M",6,0
293,"control",36,"F",37,0
294,"new_offer",23,"Nonbinary",7,0
295,"control",42,"F",54,0
296,"new_offer",23,"M",12,1
297,"new_offer",34,"F",1,0
298,"control",52,"F",26,0
299,"control",35,"M",23,0
300,"new_offer",42,"F",24,0
301,"control",30,"M",12,0
302,"new_offer",46,"F",19,0
303,"control",28,"M",10,0
304,"control",27,"F",3,0
305,"new_offer",36,"M",10,0
306,"new_offer",45,"F",3,0
307,"control",44,"F",44,0
308,"control",35,"F",12,0
309,"new_offer",33,"M",1,0
310,"new_offer",34,"F",7,0
311,"control",27,"F",1,0
312,"control",60,"F",4,0
313,"control",21,"F",9,0
314,"new_offer",35,"M",6,0
315,"new_offer",21,"M",4,1
316,"control",48,"F",66,0
317,"new_offer",31,"F",14,0
318,"new_offer",36,"F",34,1
319,"control",53,"F",56,0
320,"new_offer",49,"M",13,0
321,"new_offer",27,"M",1,0
322,"control",57,"M",7,0
323,"control",21,"F",4,0
324,"new_offer",25,"M",23,0
325,"control",33,"M",2,0
326,"new_offer",21,"F",1,0
327,"new_offer",44,"M",31,0
328,"control",28,"M",28,0
329,"control",35,"F",4,1
330,"control",40,"M",32,0
331,"control",36,"F",14,0
332,"new_offer",26,"M",47,0
333,"control",36,"M",31,0
334,"control",40,"M",11,0
335,"new_offer",36,"F",4,0
336,"new_offer",34,"F",6,0
337,"control",35,"M",45,0
338,"new_offer",39,"M",26,0
339,"new_offer",49,"F",21,0
340,"new_offer",49,"F",5,0
341,"control",32,"F",8,0
342,"new_offer",23,"M",35,0
343,"new_offer",28,"M",31,1
344,"new_offer",21,"F",12,0
345,"new_offer",41,"M",38,0
346,"control",25,"M",5,0
347,"control",31,"M",10,0
348,"new_offer",40,"F",9,1
349,"new_offer",57,"M",1,0
350,"new_offer",41,"M",5,0
351,"control",55,"M",26,0
352,"control",45,"F",17,0
353,"control",25,"F",14,0
354,"control",52,"M",24,0
355,"control",24,"F",15,0
356,"control",40,"F",1,0
357,"new_offer",39,"M",29,0
358,"control",21,"F",12,0
359,"new_offer",45,"F",8,1
360,"control",30,"M",20,0
361,"new_offer",25,"M",1,0
362,"control",53,"M",4,0
363,"control",48,"F",1,0
364,"new_offer",47,"M",26,0
365,"new_offer",47,"F",7,0
366,"control",52,"M",29,0
367,"control",46,"M",4,0
368,"control",53,"M",3,0
369,"control",27,"M",14,0
370,"new_offer",44,"M",4,1
371,"control",21,"F",30,0
372,"new_offer",50,"M",4,0
373,"control",21,"F",11,0
374,"control",49,"M",13,0
375,"control",33,"M",20,0
376,"new_offer",33,"F",22,0
377,"new_offer",33,"F",6,0
378,"control",59,"F",15,0
379,"control",36,"M",8,0
380,"control",40,"F",12,0
381,"new_offer",47,"F",12,0
382,"new_offer",41,"F",18,0
383,"control",57,"M",30,0
384,"control",53,"F",10,0
385,"new_offer",45,"F",13,0
386,"new_offer",33,"F",39,0
387,"control",51,"F",14,0
388,"control",35,"F",31,0
389,"new_offer",32,"M",2,0
390,"control",43,"Nonbinary",62,0
391,"new_offer",25,"M",47,0
392,"control",47,"F",14,0
393,"control",34,"M",18,0
394,"new_offer",24,"F",6,0
395,"control",21,"F",2,0
396,"control",47,"F",11,0
397,"new_offer",34,"F",8,0
398,"new_offer",21,"M",1,0
399,"control",39,"M",1,0
400,"control",35,"M",1,0
401,"new_offer",57,"F",25,0
402,"control",33,"F",14,0
403,"new_offer",31,"F",11,0
404,"control",34,"M",40,0
405,"new_offer",45,"M",15,0
406,"control",43,"M",15,0
407,"control",38,"M",36,0
408,"new_offer",30,"F",16,0
409,"control",21,"M",20,0
410,"control",39,"F",2,0
411,"new_offer",44,"M",34,1
412,"control",35,"F",28,0
413,"new_offer",38,"M",36,0
414,"new_offer",28,"M",28,0
415,"new_offer",26,"F",2,0
416,"new_offer",57,"M",45,0
417,"new_offer",21,"F",59,1
418,"control",25,"M",48,0
419,"new_offer",41,"F",6,0
420,"control",38,"F",20,0
421,"new_offer",39,"F",13,0
422,"control",43,"F",5,0
423,"control",35,"F",18,1
424,"control",46,"Nonbinary",42,0
425,"new_offer",30,"M",4,0
426,"new_offer",53,"M",29,0
427,"control",43,"F",8,0
428,"new_offer",43,"F",11,0
429,"new_offer",37,"M",8,0
430,"new_offer",31,"F",8,0
431,"new_offer",32,"M",5,1
432,"control",26,"M",2,0
433,"new_offer",52,"M",3,1
434,"new_offer",52,"F",10,0
435,"control",32,"F",1,0
436,"control",47,"F",5,0
437,"control",35,"F",14,0
438,"control",31,"F",2,0
439,"new_offer",22,"M",25,0
440,"new_offer",47,"M",9,0
441,"control",30,"M",26,0
442,"new_offer",33,"F",56,0
443,"control",53,"M",12,1
444,"control",39,"F",21,0
445,"new_offer",31,"F",11,0
446,"control",53,"M",12,0
447,"control",51,"M",30,0
448,"new_offer",53,"M",12,1
449,"control",23,"F",2,0
450,"new_offer",42,"F",7,1
451,"control",67,"M",22,0
452,"control",64,"F",18,0
453,"control",37,"F",3,0
454,"control",45,"F",21,0
455,"new_offer",37,"F",17,0
456,"new_offer",37,"F",37,1
457,"new_offer",38,"F",6,1
458,"new_offer",41,"M",27,0
459,"control",33,"M",56,0
460,"control",51,"M",17,0
461,"new_offer",26,"M",25,0
462,"control",45,"F",4,0
463,"new_offer",43,"F",15,0
464,"control",52,"M",17,1
465,"control",28,"F",3,0
466,"control",27,"F",25,0
467,"control",36,"F",6,1
468,"control",36,"M",2,0
469,"control",41,"F",36,0
470,"new_offer",25,"M",1,0
471,"new_offer",49,"M",9,1
472,"new_offer",46,"M",1,0
473,"control",45,"M",32,0
474,"new_offer",27,"F",2,1
475,"control",45,"F",9,0
476,"new_offer",27,"F",5,0
477,"new_offer",29,"F",40,0
478,"new_offer",50,"F",2,0
479,"new_offer",43,"M",56,1
480,"control",26,"M",9,0
481,"control",52,"M",2,0
482,"new_offer",29,"M",10,0
483,"control",41,"F",10,0
484,"new_offer",26,"M",15,1
485,"new_offer",40,"F",1,1
486,"control",38,"M",4,0
487,"new_offer",41,"F",13,1
488,"control",44,"M",1,0
489,"control",37,"M",12,1
490,"new_offer",34,"M",29,1
491,"new_offer",38,"M",14,0
492,"new_offer",42,"M",6,0
493,"new_offer",29,"F",41,0
494,"control",36,"F",13,0
495,"new_offer",21,"F",43,0
496,"control",27,"F",53,0
497,"new_offer",52,"F",1,0
498,"new_offer",40,"F",32,0
499,"new_offer",21,"M",19,1
500,"control",40,"F",36,0
501,"control",58,"M",15,0
502,"new_offer",25,"F",25,0
503,"control",25,"F",1,0
504,"control",28,"F",2,0
505,"new_offer",43,"F",20,0
506,"control",37,"F",36,0
507,"control",43,"F",13,0
508,"new_offer",48,"M",7,0
509,"control",51,"F",14,0
510,"control",50,"F",25,0
511,"control",51,"Nonbinary",36,1
512,"control",38,"F",33,1
513,"new_offer",35,"F",20,0
514,"new_offer",55,"F",15,0
515,"control",31,"F",7,0
516,"control",47,"M",5,0
517,"new_offer",47,"M",18,0
518,"control",42,"M",16,0
519,"control",31,"M",20,0
520,"control",47,"F",22,1
521,"control",36,"M",1,0
522,"new_offer",43,"F",29,0
523,"control",33,"F",56,0
524,"control",49,"M",11,0
525,"new_offer",35,"F",8,0
526,"new_offer",40,"F",30,0
527,"new_offer",49,"Nonbinary",2,0
528,"new_offer",33,"M",6,0
529,"new_offer",57,"F",43,1
530,"control",45,"M",8,0
531,"new_offer",32,"F",12,0
532,"control",47,"F",36,0
533,"control",49,"M",1,0
534,"new_offer",30,"M",3,0
535,"control",60,"F",11,0
536,"new_offer",52,"F",4,0
537,"new_offer",43,"M",56,0
538,"new_offer",39,"M",87,0
539,"control",36,"Nonbinary",27,0
540,"control",42,"M",17,0
541,"control",36,"M",11,0
542,"control",33,"F",89,0
543,"new_offer",39,"M",13,0
544,"control",37,"F",56,1
545,"new_offer",34,"F",16,0
546,"new_offer",35,"M",13,1
547,"new_offer",37,"F",10,0
548,"control",35,"M",45,0
549,"control",59,"F",25,0
550,"new_offer",40,"M",1,0
551,"control",52,"M",1,0
552,"control",53,"F",23,0
553,"new_offer",22,"F",24,0
554,"control",34,"F",73,0
555,"control",21,"M",3,0
556,"control",52,"M",7,0
557,"control",29,"F",15,0
558,"new_offer",22,"F",18,0
559,"new_offer",40,"M",56,0
560,"control",40,"M",45,0
561,"control",41,"M",31,0
562,"control",42,"F",3,0
563,"new_offer",43,"F",9,0
564,"control",34,"M",39,0
565,"new_offer",25,"Nonbinary",5,0
566,"control",24,"M",7,0
567,"control",51,"F",15,0
568,"new_offer",44,"M",52,0
569,"control",40,"F",6,0
570,"control",49,"F",1,0
571,"new_offer",34,"F",28,0
572,"control",45,"F",1,1
573,"control",33,"F",7,0
574,"control",21,"M",16,0
575,"new_offer",46,"M",3,0
576,"control",55,"M",21,0
577,"new_offer",53,"F",40,1
578,"control",29,"F",2,0
579,"control",40,"M",7,0
580,"new_offer",36,"M",1,0
581,"control",21,"F",31,0
582,"control",52,"M",4,0
583,"control",34,"M",10,0
584,"new_offer",41,"F",24,0
585,"control",36,"M",25,0
586,"control",37,"F",4,0
587,"control",32,"M",3,0
588,"new_offer",49,"F",37,1
589,"control",45,"M",3,0
590,"control",35,"Nonbinary",4,0
591,"new_offer",39,"M",19,0
592,"new_offer",37,"F",3,0
593,"control",36,"Nonbinary",5,1
594,"new_offer",28,"M",9,0
595,"control",30,"M",5,0
596,"control",40,"F",5,0
597,"control",38,"F",8,0
598,"new_offer",46,"F",12,0
599,"control",39,"F",9,0
600,"new_offer",46,"M",16,0
601,"control",28,"F",4,0
602,"new_offer",21,"M",10,0
603,"control",27,"F",10,0
604,"new_offer",55,"F",1,0
605,"new_offer",52,"F",1,0
606,"control",36,"M",30,0
607,"new_offer",45,"F",7,0
608,"new_offer",45,"F",27,1
609,"new_offer",48,"F",54,1
610,"control",48,"F",6,0
611,"new_offer",36,"F",5,1
612,"control",67,"F",9,0
613,"new_offer",47,"F",8,0
614,"control",23,"M",16,0
615,"new_offer",57,"F",1,0
616,"control",43,"M",7,0
617,"control",28,"F",8,0
618,"control",27,"F",17,0
619,"control",29,"M",19,0
620,"new_offer",36,"F",25,1
621,"control",49,"F",36,0
622,"control",54,"M",23,0
623,"control",21,"M",39,0
624,"control",48,"M",9,1
625,"new_offer",21,"F",6,0
626,"new_offer",31,"F",67,1
627,"control",44,"M",10,0
628,"control",24,"F",1,0
629,"control",29,"M",8,1
630,"control",54,"F",27,0
631,"control",37,"M",16,0
632,"new_offer",44,"M",2,0
633,"control",42,"M",5,0
634,"control",50,"M",44,1
635,"control",45,"F",43,1
636,"control",44,"F",13,0
637,"control",52,"M",12,0
638,"control",51,"F",2,0
639,"new_offer",37,"F",6,0
640,"control",41,"F",15,0
641,"control",38,"M",10,0
642,"control",27,"M",10,0
643,"control",35,"M",16,0
644,"new_offer",39,"F",34,1
645,"new_offer",26,"M",13,0
646,"control",26,"M",15,1
647,"new_offer",53,"M",40,0
648,"control",45,"M",19,0
649,"control",40,"F",1,0
650,"control",37,"F",3,0
651,"control",62,"M",15,0
652,"control",50,"F",62,1
653,"control",38,"F",1,0
654,"control",33,"F",15,0
655,"new_offer",37,"F",64,0
656,"new_offer",39,"Nonbinary",5,0
657,"control",36,"F",14,1
658,"new_offer",47,"M",4,0
659,"new_offer",45,"Nonbinary",24,0
660,"new_offer",36,"F",51,0
661,"new_offer",31,"F",1,0
662,"new_offer",37,"M",13,0
663,"new_offer",28,"M",11,0
664,"control",48,"F",42,0
665,"new_offer",50,"F",64,1
666,"new_offer",33,"F",9,0
667,"control",48,"Nonbinary",1,1
668,"new_offer",55,"M",4,0
669,"new_offer",44,"F",12,0
670,"new_offer",44,"M",7,1
671,"new_offer",54,"F",55,0
672,"control",35,"F",28,0
673,"new_offer",41,"F",8,0
674,"control",60,"M",12,0
675,"control",36,"F",14,0
676,"new_offer",21,"F",30,0
677,"control",58,"F",15,1
678,"new_offer",37,"F",3,0
679,"control",42,"F",22,1
680,"control",36,"M",2,0
681,"control",30,"F",8,0
682,"new_offer",44,"F",5,0
683,"new_offer",39,"M",11,1
684,"control",23,"F",55,0
685,"control",21,"F",5,0
686,"new_offer",45,"F",17,0
687,"new_offer",43,"M",4,0
688,"control",42,"F",46,0
689,"new_offer",28,"M",16,0
690,"control",29,"M",2,0
691,"new_offer",50,"M",51,0
692,"new_offer",37,"M",5,0
693,"control",36,"Nonbinary",37,0
694,"new_offer",37,"F",24,1
695,"new_offer",43,"F",14,0
696,"new_offer",21,"F",3,0
697,"control",46,"M",1,0
698,"control",21,"F",83,0
699,"new_offer",47,"M",18,0
700,"control",46,"F",27,0
701,"control",50,"M",6,0
702,"control",49,"M",4,0
703,"new_offer",32,"F",7,0
704,"control",45,"F",19,0
705,"control",30,"F",20,0
706,"new_offer",51,"M",5,0
707,"new_offer",21,"M",5,0
708,"new_offer",39,"F",11,0
709,"control",30,"F",10,0
710,"control",21,"M",31,0
711,"new_offer",50,"F",20,0
712,"new_offer",21,"F",44,0
713,"control",45,"M",1,0
714,"control",26,"F",7,0
715,"new_offer",32,"F",38,0
716,"new_offer",42,"F",7,1
717,"new_offer",53,"M",9,0
718,"new_offer",70,"M",1,0
719,"control",41,"M",4,0
720,"new_offer",46,"F",17,0
721,"new_offer",33,"M",43,0
722,"new_offer",40,"F",18,0
723,"new_offer",37,"F",75,1
724,"control",53,"F",19,0
725,"new_offer",23,"M",34,0
726,"control",38,"M",7,0
727,"control",22,"F",21,1
728,"new_offer",43,"F",13,0
729,"new_offer",49,"F",3,1
730,"new_offer",22,"F",5,0
731,"new_offer",30,"F",15,0
732,"new_offer",46,"Nonbinary",23,0
733,"control",36,"F",4,0
734,"new_offer",29,"M",17,1
735,"control",37,"F",1,0
736,"control",36,"M",21,0
737,"control",29,"F",49,0
738,"control",45,"F",20,0
739,"control",56,"M",10,0
740,"control",21,"F",1,0
741,"control",42,"M",37,0
742,"control",37,"F",4,0
743,"new_offer",47,"F",8,0
744,"control",41,"F",1,0
745,"control",42,"F",5,1
746,"new_offer",21,"M",29,1
747,"control",48,"M",17,1
748,"new_offer",39,"F",24,0
749,"new_offer",37,"M",1,0
750,"control",60,"F",32,0
751,"new_offer",21,"M",17,1
752,"new_offer",36,"M",35,0
753,"new_offer",27,"F",9,0
754,"control",37,"M",3,0
755,"control",36,"F",2,0
756,"control",38,"F",23,0
757,"control",57,"F",3,1
758,"new_offer",24,"F",8,0
759,"new_offer",21,"F",10,0
760,"new_offer",36,"M",9,0
761,"control",37,"F",5,0
762,"control",43,"M",5,0
763,"new_offer",50,"F",1,0
764,"control",55,"F",22,0
765,"new_offer",44,"F",37,0
766,"new_offer",42,"F",1,0
767,"control",54,"F",16,0
768,"new_offer",38,"F",40,0
769,"new_offer",36,"M",24,0
770,"control",30,"F",6,0
771,"control",25,"F",19,0
772,"new_offer",46,"F",3,0
773,"new_offer",47,"M",2,0
774,"new_offer",35,"M",16,0
775,"control",43,"F",9,1
776,"control",32,"F",21,0
777,"control",24,"Nonbinary",76,1
778,"control",35,"F",1,0
779,"new_offer",50,"F",18,0
780,"control",33,"F",12,0
781,"new_offer",53,"M",18,1
782,"new_offer",26,"F",8,0
783,"control",24,"F",6,0
784,"new_offer",43,"F",4,0
785,"control",30,"M",5,1
786,"new_offer",34,"F",42,1
787,"control",37,"M",29,0
788,"new_offer",49,"F",40,0
789,"control",37,"M",6,0
790,"control",53,"F",11,0
791,"control",42,"M",6,0
792,"control",24,"Nonbinary",12,0
793,"control",53,"Nonbinary",8,0
794,"new_offer",32,"M",3,0
795,"new_offer",35,"M",1,0
796,"new_offer",59,"M",12,0
797,"new_offer",31,"F",21,0
798,"control",35,"M",1,1
799,"new_offer",40,"Nonbinary",4,0
800,"new_offer",38,"M",75,0
801,"new_offer",21,"Nonbinary",1,0
802,"new_offer",40,"F",1,0
803,"new_offer",28,"M",63,0
804,"new_offer",34,"F",1,0
805,"new_offer",49,"M",1,0
806,"control",47,"F",9,0
807,"new_offer",31,"M",12,0
808,"new_offer",31,"F",5,0
809,"new_offer",51,"F",41,0
810,"control",41,"M",21,0
811,"control",26,"M",8,0
812,"new_offer",63,"F",8,0
813,"control",42,"F",33,1
814,"control",39,"F",12,0
815,"new_offer",58,"M",14,0
816,"control",47,"F",19,0
817,"control",30,"F",5,0
818,"control",25,"M",1,0
819,"new_offer",42,"F",4,1
820,"control",50,"M",1,0
821,"control",43,"F",18,0
822,"new_offer",44,"M",9,1
823,"new_offer",31,"F",24,0
824,"new_offer",33,"M",24,0
825,"control",49,"M",6,0
826,"control",28,"F",7,0
827,"control",42,"M",28,1
828,"control",31,"M",68,0
829,"new_offer",28,"Nonbinary",16,1
830,"new_offer",29,"M",26,0
831,"new_offer",31,"F",7,0
832,"new_offer",22,"M",13,0
833,"new_offer",21,"F",12,0
834,"control",23,"Nonbinary",16,0
835,"control",40,"F",1,0
836,"new_offer",54,"F",8,0
837,"control",46,"M",13,0
838,"new_offer",50,"F",7,0
839,"control",25,"F",13,0
840,"new_offer",35,"F",2,0
841,"control",66,"M",27,0
842,"new_offer",46,"F",4,0
843,"control",39,"M",29,0
844,"control",66,"F",1,0
845,"new_offer",38,"M",1,0
846,"control",32,"M",13,0
847,"new_offer",32,"M",16,0
848,"control",48,"M",1,0
849,"new_offer",54,"F",21,0
850,"control",39,"M",5,1
851,"new_offer",41,"F",21,1
852,"control",46,"F",12,0
853,"control",26,"M",5,0
854,"new_offer",34,"M",39,0
855,"control",51,"F",11,1
856,"new_offer",40,"M",2,0
857,"new_offer",32,"M",13,1
858,"new_offer",55,"F",6,0
859,"new_offer",21,"F",1,0
860,"new_offer",45,"M",25,0
861,"control",50,"F",15,0
862,"control",46,"F",47,0
863,"control",37,"F",2,0
864,"new_offer",37,"F",14,0
865,"control",36,"F",12,0
866,"new_offer",41,"M",45,1
867,"new_offer",34,"F",1,1
868,"control",39,"F",20,0
869,"new_offer",36,"M",5,0
870,"control",52,"M",14,0
871,"control",30,"M",4,1
872,"new_offer",31,"M",8,0
873,"new_offer",39,"M",41,0
874,"new_offer",50,"M",27,0
875,"new_offer",56,"F",6,0
876,"control",24,"M",19,0
877,"new_offer",54,"M",3,0
878,"control",37,"F",13,0
879,"control",42,"F",43,0
880,"new_offer",49,"F",8,0
881,"control",52,"F",21,0
882,"new_offer",42,"F",2,0
883,"new_offer",43,"M",27,0
884,"new_offer",30,"F",1,0
885,"new_offer",41,"M",1,0
886,"control",47,"F",10,0
887,"new_offer",31,"F",25,0
888,"new_offer",44,"M",4,0
889,"new_offer",51,"F",11,0
890,"control",45,"M",42,0
891,"new_offer",48,"M",13,0
892,"new_offer",56,"F",22,1
