"respondent_id","region","subscriber_status","tier","age","gender","tenure_months","wtp","satisfaction","prefers_dark_roast","brand_attach_1","brand_attach_2","brand_attach_3","brand_attach_4","brand_attach_5","needs_1","needs_2","needs_3","needs_4","needs_5","needs_6","needs_7","needs_8","needs_9","needs_10","needs_11","needs_12","pre_score","post_score"
19,"Atlantic","Current","Standard",53,"F",29,19.69,6.4,"No",5,3,4,5,5,4,4,4,3,2,2,2,1,3,3,3,2,NA,NA
20,"Atlantic","Lapsed","Signature",38,"F",10,20.54,4.5,"No",2,3,3,2,2,3,4,3,4,4,4,5,3,3,3,2,3,NA,NA
21,"Ontario_prospect","Current","Signature",41,"M",35,15.06,5.6,"No",3,4,4,5,5,4,2,3,3,3,1,2,1,4,4,4,2,NA,NA
22,"Ontario_prospect","Current","Discovery",40,"F",15,24.97,6.3,"Yes",4,5,3,3,4,3,3,3,5,3,4,2,2,2,2,2,2,5.5,6.3
23,"Ontario_prospect","Current","Signature",21,"F",7,20.79,6.1,"Yes",3,4,2,2,3,4,4,5,5,4,4,5,3,4,4,5,4,4.8,4.3
24,"Ontario_prospect","Current","Standard",48,"F",8,17.03,5.6,"Yes",3,3,4,3,2,4,5,4,4,2,4,3,3,3,2,3,2,NA,NA
25,"Ontario_prospect","Current","Standard",32,"F",7,14.93,5.7,"Yes",4,3,3,3,5,1,3,2,2,3,3,5,3,2,4,2,1,NA,NA
26,"Atlantic","Current","Standard",38,"F",19,19.91,5.1,"Yes",3,2,1,4,2,1,3,2,1,2,3,2,2,3,2,4,3,NA,NA
27,"Ontario_prospect","Current","Signature",49,"F",29,26.02,6.2,"Yes",3,3,2,4,3,3,3,4,3,4,3,4,4,5,5,3,4,NA,NA
28,"Atlantic","Lapsed","Standard",36,"M",33,15.42,3.6,"Yes",3,3,2,3,2,5,4,4,3,2,2,2,3,4,3,3,3,NA,NA
29,"Atlantic","Current","Discovery",41,"F",7,23.9,6.9,"Yes",3,5,4,3,4,4,3,3,4,3,3,3,4,3,3,3,1,NA,NA
30,"Atlantic","Current","Standard",51,"M",28,20.67,6.4,"No",2,1,1,2,2,4,3,4,3,5,3,5,4,4,4,3,3,NA,NA
31,"Ontario_prospect","Current","Standard",34,"F",3,14.83,4.7,"Yes",3,2,4,3,2,3,2,2,3,3,3,2,1,3,4,3,3,NA,NA
32,"Atlantic","Current","Signature",34,"F",47,23.41,7,"No",2,5,4,3,3,5,4,3,5,5,5,5,4,2,2,2,3,NA,NA
33,"Ontario_prospect","Current","Standard",40,"F",11,14.89,8.1,"Yes",5,4,5,4,5,3,3,2,5,2,2,3,3,1,3,3,3,NA,NA
34,"Ontario_prospect","Lapsed","Standard",50,"F",2,22.08,4.8,"No",2,2,3,3,4,3,2,3,2,2,3,3,1,2,2,1,3,NA,NA
35,"Atlantic","Current","Discovery",42,"F",2,28.07,5.8,"Yes",3,2,2,1,2,1,1,1,1,2,3,3,3,3,1,1,3,NA,NA
36,"Atlantic","Current","Discovery",23,"F",16,24.54,5.6,"No",2,3,3,3,3,2,4,3,2,4,2,3,3,3,2,3,1,6.9,7.4
37,"Atlantic","Current","Standard",28,"F",22,19.48,6.2,"Yes",3,3,2,4,2,3,4,4,5,5,4,4,5,5,3,4,4,NA,NA
38,"Atlantic","Current","Discovery",38,"F",58,25.68,6.9,"Yes",3,4,5,4,5,3,1,3,3,3,3,2,2,2,2,4,3,NA,NA
39,"Ontario_prospect","Current","Signature",29,"F",6,24.33,8.2,"No",3,2,2,2,2,4,5,4,5,3,3,3,3,3,4,4,2,NA,NA
40,"Atlantic","Current","Standard",30,"M",27,23.91,3.5,"Yes",4,3,4,4,3,4,3,4,2,2,2,1,3,2,1,1,1,NA,NA
41,"Ontario_prospect","Current","Discovery",32,"M",15,28.8,6.7,"No",1,3,3,4,2,3,3,4,5,3,3,4,2,3,2,2,3,NA,NA
42,"Atlantic","Current","Standard",32,"F",11,24.53,6.5,"Yes",2,2,2,3,2,4,3,3,3,3,3,3,4,5,5,5,5,NA,NA
43,"Atlantic","Current","Standard",38,"F",4,21.33,4.6,"No",4,4,3,2,3,2,1,1,1,2,2,1,1,3,4,3,3,NA,NA
44,"Atlantic","Current","Signature",22,"M",24,21.62,7.4,"Yes",1,2,5,4,2,5,4,5,3,2,4,4,2,3,4,2,5,NA,NA
45,"Ontario_prospect","Current","Discovery",33,"M",24,30.56,8,"No",5,4,4,5,3,4,2,2,2,3,4,3,2,1,1,1,3,NA,NA
46,"Atlantic","Current","Discovery",35,"M",55,20.64,6.3,"No",2,2,3,2,2,2,3,3,2,1,1,2,2,2,1,3,3,NA,NA
47,"Atlantic","Current","Signature",37,"F",10,21.67,6.4,"Yes",4,4,2,4,2,3,1,3,2,3,3,3,4,4,2,3,3,NA,NA
48,"Atlantic","Current","Signature",53,"F",8,18.21,6.8,"Yes",4,3,3,3,3,3,2,3,2,1,1,3,1,2,2,2,2,NA,NA
49,"Ontario_prospect","Current","Signature",43,"F",7,20.5,5.8,"No",2,1,1,2,1,2,3,2,3,1,2,2,3,3,4,2,2,NA,NA
50,"Atlantic","Lapsed","Standard",25,"Nonbinary",2,17.6,6.9,"Yes",4,4,3,4,5,3,2,3,3,3,3,4,3,4,3,3,4,NA,NA
51,"Atlantic","Lapsed","Signature",21,"M",8,15.49,3,"No",3,2,2,1,2,2,3,2,3,3,3,2,3,4,2,3,3,NA,NA
52,"Atlantic","Current","Standard",54,"F",26,24.75,7,"Yes",5,3,4,5,2,3,4,4,4,2,3,3,3,3,4,3,3,4.8,5.7
53,"Atlantic","Current","Standard",41,"M",9,21.35,5,"Yes",2,4,3,2,1,5,4,5,5,3,3,4,3,2,4,3,4,NA,NA
54,"Atlantic","Lapsed","Signature",37,"M",10,26.88,5.2,"Yes",5,3,4,3,3,1,4,4,1,2,2,3,3,3,3,2,3,NA,NA
55,"Atlantic","Current","Signature",45,"M",5,21.16,7.8,"No",3,3,3,2,4,4,3,4,3,3,3,4,4,5,3,5,4,7.2,8.4
56,"Atlantic","Current","Standard",56,"M",45,24.59,6.1,"No",4,3,3,1,3,4,2,3,4,5,5,4,5,2,3,3,4,NA,NA
57,"Atlantic","Current","Standard",29,"F",6,19.49,3.9,"No",4,3,2,3,5,3,3,3,3,4,2,3,4,2,1,2,2,NA,NA
58,"Atlantic","Current","Signature",49,"M",32,25.61,7.5,"Yes",2,3,3,3,3,4,5,3,4,3,3,4,5,3,3,5,3,6.9,7.7
59,"Ontario_prospect","Current","Signature",34,"F",2,22.08,5,"Yes",3,3,3,3,2,3,3,3,4,3,3,4,4,1,2,3,3,NA,NA
60,"Atlantic","Current","Standard",25,"M",11,20.19,6.4,"Yes",4,2,3,2,1,4,2,2,3,2,3,3,3,3,1,2,3,NA,NA
61,"Atlantic","Current","Signature",40,"M",6,20.18,5.1,"No",3,3,1,3,3,4,4,4,4,4,3,2,2,3,3,3,4,NA,NA
62,"Ontario_prospect","Lapsed","Standard",41,"F",2,18.46,5.2,"No",1,1,2,1,1,3,3,3,3,2,4,3,4,4,3,3,3,NA,NA
63,"Ontario_prospect","Current","Standard",47,"F",2,18.18,5.4,"No",5,3,4,4,3,5,3,3,4,3,4,3,3,4,4,4,3,NA,NA
64,"Ontario_prospect","Current","Standard",38,"M",21,25.24,5.7,"Yes",3,2,4,5,2,2,2,2,3,5,5,4,5,4,4,4,5,5.5,3.7
65,"Atlantic","Current","Standard",54,"M",52,22.25,6.4,"Yes",4,3,4,5,4,4,3,2,2,2,2,3,3,4,3,4,4,NA,NA
66,"Atlantic","Current","Signature",51,"M",7,25.57,5.5,"Yes",2,4,4,4,2,3,4,4,4,1,3,3,2,3,3,3,3,NA,NA
67,"Ontario_prospect","Current","Standard",29,"M",9,17.94,5.9,"Yes",3,2,3,3,3,4,3,5,4,4,4,4,5,4,4,2,4,NA,NA
68,"Atlantic","Current","Discovery",44,"F",22,27.2,6.5,"No",1,2,3,2,3,3,2,2,3,1,1,1,1,3,1,3,3,NA,NA
69,"Atlantic","Lapsed","Standard",29,"M",11,20.03,4.5,"Yes",4,3,4,3,3,4,4,3,5,3,3,3,4,4,4,4,4,NA,NA
70,"Atlantic","Current","Signature",36,"F",27,22.96,6.5,"Yes",3,3,3,3,2,4,4,5,4,3,5,4,4,2,2,1,1,5.8,6.3
71,"Ontario_prospect","Current","Signature",45,"M",26,20.63,6.4,"Yes",5,5,5,4,4,2,3,2,2,3,3,2,5,3,3,1,1,NA,NA
72,"Atlantic","Current","Discovery",53,"F",22,26.34,9.4,"Yes",4,3,4,3,4,4,4,3,3,4,5,4,4,2,3,1,3,NA,NA
73,"Atlantic","Lapsed","Signature",48,"M",1,19.55,6.3,"Yes",5,4,4,4,5,2,3,3,5,2,3,3,3,3,4,2,3,NA,NA
74,"Atlantic","Current","Discovery",22,"M",9,23.72,7.7,"Yes",4,2,1,3,4,4,4,3,2,5,5,4,4,1,1,3,3,7.7,9.2
75,"Atlantic","Lapsed","Discovery",39,"F",8,21.35,5.5,"Yes",3,2,2,2,3,4,2,3,4,3,4,4,4,3,2,1,2,NA,NA
76,"Atlantic","Current","Discovery",30,"M",4,25.85,6.2,"Yes",2,4,2,2,3,3,3,2,3,2,3,4,3,2,2,2,3,NA,NA
77,"Ontario_prospect","Current","Standard",47,"M",2,20.72,5.3,"No",3,4,2,2,2,2,2,1,2,2,3,2,2,1,3,2,3,NA,NA
78,"Atlantic","Current","Standard",53,"M",5,19.37,4,"Yes",1,3,1,2,3,1,1,2,1,3,3,1,2,3,2,1,2,NA,NA
79,"Atlantic","Current","Standard",31,"M",2,20.65,5.5,"No",3,4,3,2,3,2,2,2,3,1,1,2,3,2,2,2,1,NA,NA
80,"Ontario_prospect","Lapsed","Signature",59,"M",20,16.47,6.1,"No",5,5,4,4,4,3,3,2,2,1,2,2,2,3,4,4,4,NA,NA
81,"Atlantic","Current","Signature",45,"F",22,29.22,6.1,"No",2,1,2,2,1,2,4,4,2,2,2,2,2,2,2,2,3,NA,NA
82,"Atlantic","Current","Signature",42,"M",5,18.08,6.3,"Yes",3,4,2,4,3,1,1,3,2,3,2,3,3,3,4,3,2,NA,NA
83,"Atlantic","Lapsed","Standard",50,"F",14,22.33,2.1,"Yes",1,1,1,1,1,4,3,3,3,3,1,2,4,3,3,3,3,NA,NA
84,"Ontario_prospect","Current","Signature",44,"M",18,24.55,7.4,"Yes",5,4,3,4,4,3,3,2,4,5,4,5,3,3,3,1,2,NA,NA
85,"Ontario_prospect","Current","Standard",45,"M",3,17.57,4,"Yes",2,3,2,3,3,3,2,3,2,1,2,2,3,5,3,4,4,NA,NA
86,"Atlantic","Current","Signature",32,"F",8,23.37,7,"Yes",2,3,2,2,4,3,3,2,4,3,2,2,2,4,3,4,3,NA,NA
87,"Atlantic","Current","Standard",45,"F",19,20.73,5.7,"No",2,3,3,3,3,2,2,1,2,1,3,2,2,3,2,4,2,NA,NA
88,"Atlantic","Lapsed","Signature",23,"F",15,21.74,4.6,"No",3,3,4,3,3,3,3,2,3,1,2,3,2,3,3,3,2,6.2,6
89,"Atlantic","Current","Standard",35,"M",29,20.68,6.1,"Yes",3,2,4,3,2,4,3,4,5,4,3,3,2,3,4,2,3,NA,NA
90,"Ontario_prospect","Current","Standard",43,"F",14,19.56,6,"Yes",4,3,4,3,4,4,3,3,3,3,5,2,3,2,2,2,3,NA,NA
91,"Atlantic","Current","Standard",21,"M",35,23.19,4.9,"Yes",2,3,3,3,2,2,3,3,2,4,5,4,4,1,1,1,1,NA,NA
92,"Ontario_prospect","Current","Standard",33,"F",52,12.67,5.5,"No",5,5,4,5,5,1,2,2,1,2,1,2,3,3,2,3,3,NA,NA
93,"Ontario_prospect","Lapsed","Discovery",23,"M",10,24.7,5.3,"No",4,2,2,3,3,4,2,4,3,3,3,3,3,3,4,3,3,NA,NA
94,"Atlantic","Current","Standard",40,"M",18,23.84,6,"No",3,3,2,3,3,4,4,4,4,3,5,4,5,4,2,4,4,NA,NA
95,"Atlantic","Lapsed","Standard",49,"M",6,25.35,6,"No",3,2,3,4,3,3,2,4,2,3,4,4,2,3,5,4,5,NA,NA
96,"Atlantic","Current","Standard",52,"M",5,15.37,5.2,"No",3,2,4,3,4,2,2,3,4,3,3,3,2,3,3,2,1,NA,NA
97,"Atlantic","Current","Standard",23,"F",3,24.5,4.6,"No",3,3,2,3,2,3,3,3,3,3,3,3,4,4,4,3,4,NA,NA
98,"Atlantic","Current","Discovery",32,"F",14,20.06,6.5,"No",2,2,2,1,2,4,3,3,3,3,3,3,4,4,3,3,3,7.1,7.1
99,"Atlantic","Current","Standard",34,"F",9,16.46,5.2,"Yes",5,5,4,5,5,2,3,2,3,1,1,1,1,2,1,2,1,NA,NA
100,"Atlantic","Current","Signature",32,"F",7,23.65,4.6,"No",3,3,3,4,5,1,2,3,1,1,3,2,2,5,3,3,1,NA,NA
101,"Ontario_prospect","Lapsed","Signature",40,"F",26,19.56,6.7,"Yes",3,4,2,3,3,4,3,3,3,5,4,5,4,2,3,3,4,NA,NA
102,"Ontario_prospect","Current","Standard",46,"F",2,17.15,6.1,"No",2,2,3,3,2,4,4,1,2,5,5,3,3,4,5,5,5,NA,NA
103,"Atlantic","Current","Signature",24,"F",8,23.37,6.4,"Yes",4,4,5,2,3,3,3,4,4,3,1,4,2,4,3,2,4,5.8,5.3
104,"Ontario_prospect","Current","Signature",34,"F",3,22.16,5.7,"No",4,4,3,4,2,3,3,5,4,2,2,2,1,2,3,2,1,NA,NA
105,"Ontario_prospect","Current","Standard",34,"Nonbinary",38,20.96,6.2,"No",5,4,4,4,5,4,4,3,3,5,4,5,4,3,3,5,2,NA,NA
106,"Ontario_prospect","Current","Signature",21,"F",7,21.25,6,"Yes",5,5,5,4,4,3,2,3,4,4,4,4,4,4,4,4,5,4.2,4.5
107,"Atlantic","Lapsed","Standard",49,"M",23,12.66,4.9,"Yes",2,4,3,4,4,1,2,1,3,2,2,2,2,4,4,4,5,5.9,6.8
108,"Atlantic","Current","Standard",44,"F",9,19.8,5.5,"Yes",3,5,5,5,4,3,3,5,3,2,3,3,3,3,3,3,4,NA,NA
109,"Atlantic","Lapsed","Standard",38,"F",12,15.95,5.5,"Yes",3,4,2,3,5,4,4,3,4,4,2,2,3,5,5,3,5,NA,NA
110,"Atlantic","Current","Signature",23,"F",13,17.33,5.3,"Yes",4,2,5,3,3,2,3,1,2,3,4,4,2,4,4,5,4,NA,NA
111,"Atlantic","Current","Discovery",54,"F",15,25.3,6.6,"Yes",3,4,4,3,3,4,4,3,4,2,3,3,3,3,3,2,5,NA,NA
112,"Atlantic","Current","Standard",55,"M",5,26.09,6.6,"No",3,3,2,1,2,2,3,2,4,3,3,4,3,4,5,5,4,NA,NA
113,"Ontario_prospect","Current","Discovery",32,"F",48,21.48,6.6,"No",4,5,2,4,3,2,4,2,3,3,2,3,2,4,3,3,3,NA,NA
114,"Atlantic","Current","Signature",42,"Nonbinary",22,28.8,5.2,"No",2,3,2,3,1,2,4,4,5,5,5,2,3,3,4,4,4,7.7,6.2
115,"Atlantic","Current","Discovery",35,"M",24,24.52,6.5,"Yes",3,3,4,3,2,3,3,4,2,3,5,4,3,4,2,3,4,5.7,6.7
116,"Ontario_prospect","Current","Signature",21,"F",1,16.16,7.1,"No",2,1,1,1,2,2,2,3,3,2,3,1,3,2,3,3,3,6.1,6.2
117,"Atlantic","Current","Standard",42,"F",5,17.58,5.4,"No",3,3,4,5,3,2,2,2,2,5,2,4,2,3,4,3,3,NA,NA
118,"Atlantic","Current","Signature",27,"F",2,24.7,5.8,"No",3,2,2,4,3,3,4,4,5,2,3,4,3,2,3,4,3,NA,NA
119,"Atlantic","Lapsed","Standard",24,"F",2,13.2,3.9,"Yes",2,3,4,3,3,2,1,2,2,3,3,2,3,3,2,4,2,2.8,1.9
120,"Atlantic","Current","Signature",39,"F",11,20.72,4.5,"Yes",4,3,3,3,4,2,2,2,1,2,2,1,1,2,2,2,3,NA,NA
121,"Atlantic","Current","Standard",36,"F",20,19.55,5.4,"No",2,2,3,3,3,2,2,3,4,4,3,3,3,2,3,1,3,NA,NA
122,"Atlantic","Current","Standard",39,"M",85,23.61,7,"No",2,3,3,4,4,3,3,2,1,4,4,4,5,4,3,3,2,NA,NA
123,"Atlantic","Current","Standard",23,"M",20,21.05,6.5,"Yes",2,2,1,2,2,4,5,3,4,4,4,3,3,4,2,3,3,NA,NA
124,"Atlantic","Current","Standard",30,"F",46,23.67,6.5,"Yes",5,4,4,5,5,5,4,4,4,3,3,3,2,5,5,4,4,NA,NA
125,"Atlantic","Current","Signature",28,"M",29,26.35,3.5,"Yes",3,2,4,3,4,1,3,1,2,2,2,2,3,2,3,3,4,5.4,4.8
126,"Ontario_prospect","Current","Discovery",36,"F",26,20.95,6.3,"Yes",4,4,3,4,4,5,4,4,3,3,2,1,2,1,2,2,2,NA,NA
127,"Ontario_prospect","Current","Standard",37,"F",9,23.17,5.8,"Yes",1,2,3,3,3,2,2,3,3,2,2,2,3,3,3,3,4,NA,NA
128,"Ontario_prospect","Lapsed","Discovery",44,"M",56,16.15,6.5,"Yes",4,4,3,3,4,4,4,1,2,3,1,1,3,2,2,1,1,NA,NA
129,"Atlantic","Current","Standard",48,"M",3,24.28,6.9,"Yes",5,5,4,5,5,4,1,4,3,4,4,4,4,4,3,2,3,NA,NA
130,"Ontario_prospect","Lapsed","Signature",33,"F",16,17.26,5.2,"No",3,3,3,4,3,3,2,3,4,2,1,1,2,3,3,1,2,NA,NA
131,"Atlantic","Current","Standard",46,"F",63,23.1,5.7,"No",2,3,1,3,2,3,3,4,3,2,2,2,2,3,2,3,3,NA,NA
132,"Atlantic","Current","Standard",47,"F",49,21.98,7,"No",3,4,4,4,5,4,3,3,4,2,3,2,3,3,2,3,2,NA,NA
133,"Ontario_prospect","Current","Standard",52,"M",28,18.12,7.1,"No",4,4,3,2,4,3,2,4,2,3,3,4,3,4,2,3,4,NA,NA
134,"Ontario_prospect","Current","Signature",29,"F",4,20.68,5.4,"Yes",2,3,3,2,2,3,3,2,3,2,2,4,1,3,4,3,4,NA,NA
135,"Atlantic","Current","Standard",25,"F",2,20.48,5.8,"Yes",4,5,5,5,5,3,2,3,4,2,2,3,2,3,4,3,3,NA,NA
136,"Atlantic","Lapsed","Standard",46,"M",33,18.36,5.3,"No",4,4,4,4,3,4,4,4,3,2,2,3,1,3,2,3,2,6.4,7.9
137,"Atlantic","Current","Discovery",41,"M",2,24.48,5.4,"Yes",3,4,3,4,3,2,2,3,2,3,2,3,4,3,3,3,2,5.1,5.5
138,"Atlantic","Current","Signature",42,"F",2,25.43,6.1,"No",4,4,4,4,4,4,3,3,4,2,3,3,2,3,1,2,3,NA,NA
139,"Ontario_prospect","Current","Standard",35,"F",9,17.5,6.1,"Yes",3,3,2,4,2,2,3,3,3,2,1,1,2,4,5,2,4,3.8,4.6
140,"Ontario_prospect","Current","Standard",75,"M",6,18.79,6.5,"Yes",4,4,4,3,2,4,1,3,3,4,5,4,3,5,3,4,3,NA,NA
141,"Ontario_prospect","Current","Standard",21,"M",2,19.35,6.5,"No",3,2,2,3,4,3,3,2,2,4,3,3,2,4,3,1,4,NA,NA
142,"Atlantic","Current","Signature",34,"F",14,23.93,7.5,"Yes",4,5,3,4,5,2,3,4,3,3,4,2,3,3,3,4,2,NA,NA
143,"Ontario_prospect","Current","Standard",31,"F",2,23.56,5.6,"No",3,2,2,2,5,2,2,2,2,2,3,3,2,5,5,4,4,NA,NA
144,"Atlantic","Current","Signature",53,"M",6,21.32,6.9,"No",2,3,2,4,1,3,4,3,4,5,3,4,4,4,4,4,5,NA,NA
145,"Atlantic","Current","Standard",39,"F",89,24.89,7.8,"Yes",5,3,4,5,4,4,4,4,5,4,5,5,5,4,3,3,4,5.3,6
146,"Atlantic","Lapsed","Standard",24,"F",1,18.23,4.1,"No",2,3,3,3,3,4,4,3,4,2,2,2,2,4,5,3,4,5.7,6.8
147,"Atlantic","Current","Discovery",34,"M",1,19.27,6,"Yes",4,3,4,4,4,3,4,2,5,3,3,2,4,3,4,3,2,7.8,6.9
148,"Atlantic","Current","Signature",37,"M",74,26.55,6.6,"No",3,2,2,3,4,3,2,3,2,4,4,4,5,4,4,3,3,NA,NA
149,"Atlantic","Current","Standard",48,"F",4,21.87,7.4,"No",4,4,4,3,3,3,4,2,3,4,3,4,3,5,4,2,4,NA,NA
150,"Atlantic","Current","Standard",36,"F",6,23.95,4.6,"Yes",2,5,5,5,5,2,4,2,3,2,3,2,2,2,4,2,3,NA,NA
151,"Atlantic","Current","Standard",24,"F",46,19.09,8.1,"Yes",4,4,5,3,5,4,4,3,5,3,3,3,4,4,4,4,2,NA,NA
152,"Ontario_prospect","Current","Standard",36,"M",47,21.75,4.6,"No",3,4,4,4,4,1,3,2,3,4,4,3,3,3,1,2,3,6.1,6.1
153,"Atlantic","Current","Signature",36,"F",8,18.25,3.6,"No",2,2,3,2,1,4,3,3,3,2,3,4,2,4,3,3,2,6.6,5.3
154,"Atlantic","Current","Signature",42,"M",10,20.86,7.2,"No",5,4,3,4,5,5,3,5,4,4,3,4,4,1,2,3,3,NA,NA
155,"Ontario_prospect","Current","Standard",21,"F",38,23.74,6.9,"No",2,2,2,2,3,4,3,5,4,3,4,4,3,4,4,3,3,NA,NA
156,"Atlantic","Current","Discovery",33,"M",1,21.95,5.1,"No",4,3,4,3,1,2,1,2,2,1,2,2,3,3,3,2,5,NA,NA
157,"Ontario_prospect","Current","Discovery",35,"M",23,23.04,5.3,"No",2,3,3,3,3,5,4,5,4,5,3,2,2,4,5,3,3,NA,NA
158,"Ontario_prospect","Current","Standard",47,"M",14,16.76,6.1,"No",2,2,2,3,1,4,4,3,3,3,4,3,4,4,2,2,3,NA,NA
159,"Atlantic","Lapsed","Standard",47,"F",1,23.82,4.3,"Yes",3,2,3,2,1,1,3,2,2,3,4,3,2,3,2,4,4,NA,NA
160,"Atlantic","Current","Discovery",28,"M",3,24.57,6.2,"Yes",4,3,3,4,3,3,1,3,3,4,4,4,3,2,1,3,3,NA,NA
161,"Atlantic","Current","Signature",52,"M",4,22.39,4.9,"Yes",3,3,1,1,2,4,3,3,3,1,4,3,4,4,3,5,2,NA,NA
162,"Ontario_prospect","Lapsed","Discovery",45,"F",5,18.39,4.8,"Yes",2,2,2,1,2,3,3,3,3,3,2,1,2,4,4,4,3,5.9,5.7
163,"Atlantic","Current","Standard",28,"F",11,23.74,4.6,"No",3,3,4,1,2,1,1,2,3,3,3,4,4,2,3,2,2,NA,NA
164,"Atlantic","Current","Standard",32,"F",48,21.72,6.7,"No",5,4,4,4,4,3,4,2,3,4,1,4,2,3,3,2,4,5.3,6.9
165,"Atlantic","Current","Standard",54,"M",8,20.67,7,"Yes",2,2,2,3,3,2,5,3,2,2,3,3,3,3,3,3,2,NA,NA
166,"Atlantic","Current","Signature",38,"F",4,23.4,5.8,"Yes",4,4,4,4,5,2,3,3,1,4,5,4,5,3,3,2,3,NA,NA
167,"Atlantic","Current","Standard",47,"F",10,23.29,6.1,"No",2,2,1,2,2,3,3,2,5,3,4,3,3,5,3,4,3,NA,NA
168,"Atlantic","Current","Discovery",21,"F",7,18.98,5.3,"No",2,2,2,1,3,2,2,4,4,3,4,2,4,3,3,1,4,NA,NA
169,"Ontario_prospect","Current","Standard",46,"M",2,17.75,5.2,"No",2,3,3,3,3,2,2,3,2,4,2,5,3,3,4,4,4,NA,NA
170,"Ontario_prospect","Lapsed","Standard",52,"F",1,21.18,3.9,"Yes",2,1,2,1,2,3,4,2,3,4,4,4,3,3,3,2,1,NA,NA
171,"Atlantic","Current","Standard",24,"M",5,21.65,2.7,"No",2,3,4,3,4,2,1,3,1,2,4,5,3,1,2,3,3,NA,NA
172,"Atlantic","Current","Signature",55,"F",56,19.38,5.4,"No",5,4,5,3,3,4,3,4,5,1,1,2,2,2,4,3,1,5.4,5.1
173,"Atlantic","Lapsed","Standard",41,"M",2,11.45,5.5,"Yes",5,4,5,5,5,2,3,3,3,4,5,3,3,3,3,3,4,NA,NA
174,"Atlantic","Current","Discovery",22,"M",24,22.41,6.6,"No",3,4,3,3,2,1,4,1,2,2,3,1,4,3,4,2,2,NA,NA
175,"Atlantic","Lapsed","Standard",44,"M",3,22.16,3.1,"No",2,4,1,1,2,2,2,4,3,2,3,3,4,2,1,2,2,6.7,8.3
176,"Ontario_prospect","Current","Standard",38,"F",70,14.62,5.7,"No",3,4,5,2,4,3,2,3,4,3,2,3,3,3,2,1,3,NA,NA
177,"Atlantic","Lapsed","Standard",51,"F",1,23.88,6.8,"Yes",4,4,4,4,4,4,5,5,4,3,2,2,1,4,4,2,3,NA,NA
